dataset,n_components,n_multi,max_cluster,mean_multi_size,frac_pairwise,largest_cluster_cohesion
human_nontata_promoters,23312,2811,420,5.56,0.24,0.083
human_enhancers_ensembl,117270,36238,143,2.04,0.996,0.9586
