dataset,orig_acc,corr_acc,drop,corr_acc_GCindist,n_GCindist,n_test
human_nontata_promoters,0.9284,0.82,0.1083,0.7873,4523,9041
human_enhancers_ensembl,0.8596,0.6957,0.1639,0.6306,15299,30971
