dataset,threshold,is_shuffled_null_threshold,n_test,n_train,leak_ours,verdict_ours,leak_hashfrag,leak_hashfrag_fwd_only,rev_only_hits,rev_only_frac,verdict_hashfrag,verdicts_agree,both,ours_only,hashfrag_only,neither,agreement,kappa,recall_vs_hashfrag,precision_vs_hashfrag
human_ensembl_regulatory,100,0,3993,16007,0.0,clean,0.1653,0.1495,63,0.0158,LEAKY,0,0,0,660,3333,0.8347,0.0,0.0,
human_ensembl_regulatory,120,0,3993,16007,0.0,clean,0.1335,0.12,54,0.0135,LEAKY,0,0,0,533,3460,0.8665,0.0,0.0,
human_ensembl_regulatory,140,0,3993,16007,0.0,clean,0.1054,0.0957,39,0.0098,LEAKY,0,0,0,421,3572,0.8946,0.0,0.0,
human_ensembl_regulatory,160,0,3993,16007,0.0,clean,0.0869,0.0784,34,0.0085,clean,1,0,0,347,3646,0.9131,0.0,0.0,
human_ensembl_regulatory,180,0,3993,16007,0.0,clean,0.0661,0.0581,32,0.008,clean,1,0,0,264,3729,0.9339,0.0,0.0,
human_ensembl_regulatory,200,0,3993,16007,0.0,clean,0.0538,0.0468,28,0.007,clean,1,0,0,215,3778,0.9462,0.0,0.0,
human_ensembl_regulatory,220,0,3993,16007,0.0,clean,0.0386,0.0333,21,0.0053,clean,1,0,0,154,3839,0.9614,0.0,0.0,
human_ensembl_regulatory,240,0,3993,16007,0.0,clean,0.0228,0.018,19,0.0048,clean,1,0,0,91,3902,0.9772,0.0,0.0,
human_ensembl_regulatory,260,0,3993,16007,0.0,clean,0.0175,0.0138,15,0.0038,clean,1,0,0,70,3923,0.9825,0.0,0.0,
human_ensembl_regulatory,280,0,3993,16007,0.0,clean,0.0133,0.0098,14,0.0035,clean,1,0,0,53,3940,0.9867,0.0,0.0,
human_ensembl_regulatory,300,0,3993,16007,0.0,clean,0.0115,0.0088,11,0.0028,clean,1,0,0,46,3947,0.9885,0.0,0.0,
human_ensembl_regulatory,320,0,3993,16007,0.0,clean,0.0105,0.0075,12,0.003,clean,1,0,0,42,3951,0.9895,0.0,0.0,
human_ensembl_regulatory,340,0,3993,16007,0.0,clean,0.008,0.0053,11,0.0028,clean,1,0,0,32,3961,0.992,0.0,0.0,
human_ensembl_regulatory,360,0,3993,16007,0.0,clean,0.0058,0.0035,9,0.0023,clean,1,0,0,23,3970,0.9942,0.0,0.0,
human_ensembl_regulatory,380,0,3993,16007,0.0,clean,0.0053,0.003,9,0.0023,clean,1,0,0,21,3972,0.9947,0.0,0.0,
human_ensembl_regulatory,400,0,3993,16007,0.0,clean,0.0043,0.0028,6,0.0015,clean,1,0,0,17,3976,0.9957,0.0,0.0,
