suite,task,model_A,model_B,n_test,n_test_clusters,n_train_shipped,n_train_decontam,n_train_removed,phi_shipped,phi_decontam,acc_A_shipped,acc_B_shipped,acc_A_decontam,acc_B_decontam,margin_shipped,margin_shipped_ci,margin_shipped_excl0,margin_decontam,margin_decontam_ci,margin_decontam_excl0,margin_shift,margin_shift_ci_paired,margin_shift_excl0,mde_shift,mde_margin_shipped,mcnemar_shipped,mcnemar_decontam,order_shipped,order_decontam,best_shipped,best_decontam,material_inversion,residual_leak_at_thr
NT-original,enhancers,LR,LinearSVC,400,400,14968,14861,107,0.25,0.0,0.73,0.7425,0.72,0.7075,-0.0125,"[-0.0450, 0.0175]",False,0.0125,"[-0.0200, 0.0450]",False,0.025,"[0.0000, 0.0500]",False,0.0247,0.0315,17/22,25/20,RF>LinearSVC>HGB>LR,LR>RF>LinearSVC>HGB,RF,LR,True,0.0
NT-original,enhancers,LR,RF,400,400,14968,14861,107,0.25,0.0,0.73,0.7675,0.72,0.7175,-0.0375,"[-0.0750, -0.0025]",True,0.0025,"[-0.0350, 0.0400]",False,0.04,"[0.0100, 0.0700]",True,0.0301,0.0362,19/34,28/27,RF>LinearSVC>HGB>LR,LR>RF>LinearSVC>HGB,RF,LR,True,0.0
NT-original,enhancers,LR,HGB,400,400,14968,14861,107,0.25,0.0,0.73,0.7425,0.72,0.695,-0.0125,"[-0.0475, 0.0200]",False,0.025,"[-0.0025, 0.0550]",False,0.0375,"[0.0100, 0.0675]",True,0.029,0.0331,20/25,23/13,RF>LinearSVC>HGB>LR,LR>RF>LinearSVC>HGB,RF,LR,True,0.0
NT-original,enhancers,LinearSVC,RF,400,400,14968,14861,107,0.25,0.0,0.7425,0.7675,0.7075,0.7175,-0.025,"[-0.0675, 0.0150]",False,-0.01,"[-0.0550, 0.0325]",False,0.015,"[-0.0175, 0.0450]",False,0.0317,0.0409,29/39,40/44,RF>LinearSVC>HGB>LR,LR>RF>LinearSVC>HGB,RF,LR,True,0.0
NT-original,enhancers,LinearSVC,HGB,400,400,14968,14861,107,0.25,0.0,0.7425,0.7425,0.7075,0.695,0.0,"[-0.0375, 0.0375]",False,0.0125,"[-0.0225, 0.0475]",False,0.0125,"[-0.0175, 0.0425]",False,0.0305,0.0363,27/27,31/26,RF>LinearSVC>HGB>LR,LR>RF>LinearSVC>HGB,RF,LR,True,0.0
NT-original,enhancers,RF,HGB,400,400,14968,14861,107,0.25,0.0,0.7675,0.7425,0.7175,0.695,0.025,"[-0.0025, 0.0525]",False,0.0225,"[-0.0100, 0.0575]",False,-0.0025,"[-0.0375, 0.0325]",False,0.0342,0.0279,21/11,28/19,RF>LinearSVC>HGB>LR,LR>RF>LinearSVC>HGB,RF,LR,True,0.0
