dataset,model,orig_acc,corr_acc,ci_sample,ci_cluster,ci_width_sample,ci_width_cluster,width_inflation,delta,delta_ci_sample,excl0_sample,delta_ci_cluster,excl0_cluster,verdict_flips
human_enhancers_ensembl,RF_k6,0.8596,0.6957,"[0.8562, 0.8635]","[0.8552, 0.864]",0.0074,0.0088,1.2,0.1639,"[0.1579, 0.1704]",True,"[0.1556, 0.1722]",True,False
human_enhancers_ensembl,LR_k6,0.7809,0.7806,"[0.7765, 0.7856]","[0.7762, 0.7856]",0.0091,0.0095,1.04,0.0004,"[-0.0057, 0.0069]",False,"[-0.0076, 0.0079]",False,False
