dataset,leaky,model,sim_bin,n,n_pos,n_neg,pos_rate,accuracy,sensitivity,specificity,balanced_accuracy,auroc,usable
demo_human_or_worm,False,LinearSVC,"[0,0.5)",4951,2474,2477,0.4997,0.9386,0.9301,0.9471,0.9386,0.9845,True
demo_human_or_worm,False,LinearSVC,"[0.5,0.7)",33,12,21,0.3636,0.9697,0.9167,1.0,0.9583,1.0,False
demo_human_or_worm,False,LinearSVC,"[0.7,0.9)",10,8,2,0.8,1.0,1.0,1.0,1.0,1.0,False
demo_human_or_worm,False,LinearSVC,"[0.9,1.0]",6,6,0,1.0,1.0,1.0,,,,False
demo_human_or_worm,False,RF,"[0,0.5)",4951,2474,2477,0.4997,0.9176,0.9232,0.912,0.9176,0.9734,True
demo_human_or_worm,False,RF,"[0.5,0.7)",33,12,21,0.3636,1.0,1.0,1.0,1.0,1.0,False
demo_human_or_worm,False,RF,"[0.7,0.9)",10,8,2,0.8,1.0,1.0,1.0,1.0,1.0,False
demo_human_or_worm,False,RF,"[0.9,1.0]",6,6,0,1.0,1.0,1.0,,,,False
demo_human_or_worm,False,HGB,"[0,0.5)",4951,2474,2477,0.4997,0.9295,0.9216,0.9374,0.9295,0.9802,True
demo_human_or_worm,False,HGB,"[0.5,0.7)",33,12,21,0.3636,0.9697,0.9167,1.0,0.9583,0.9841,False
demo_human_or_worm,False,HGB,"[0.7,0.9)",10,8,2,0.8,0.9,0.875,1.0,0.9375,1.0,False
demo_human_or_worm,False,HGB,"[0.9,1.0]",6,6,0,1.0,1.0,1.0,,,,False
