dataset,model,phi,mid_bin_mass,novel_acc_n,leaked_acc_h,graded_gap_g,acc_orig_pred_2bin,acc_orig_pred_4bin,acc_orig_obs,recon_err_2bin,recon_err_4bin,acc_corr_obs,residual_corr_minus_novel,drop_pred_phi_g,drop_obs
human_enhancers_ensembl,LR,0.3802,0.0138,0.7649,0.8019,0.037,0.779,0.7809,0.7809,-0.0019,0.0,0.7806,0.0157,0.0141,0.0003
human_enhancers_ensembl,LinearSVC,0.3802,0.0138,0.782,0.8193,0.0373,0.7962,0.798,0.798,-0.0018,0.0,0.7975,0.0155,0.0142,0.0005
human_enhancers_ensembl,RF,0.3802,0.0138,0.7698,1.0,0.2302,0.8573,0.8596,0.8596,-0.0023,-0.0,0.6957,-0.0741,0.0875,0.1639
human_enhancers_ensembl,HGB,0.3802,0.0138,0.7488,0.7827,0.0339,0.7617,0.7636,0.7636,-0.0019,-0.0,0.7608,0.012,0.0129,0.0028
human_nontata_promoters,LR,0.2255,0.2243,0.834,0.9254,0.0914,0.8546,0.8701,0.8702,-0.0156,-0.0001,0.8294,-0.0046,0.0206,0.0408
human_nontata_promoters,LinearSVC,0.2255,0.2243,0.8546,0.9514,0.0968,0.8764,0.8877,0.8876,-0.0112,0.0001,0.8083,-0.0463,0.0218,0.0793
human_nontata_promoters,RF,0.2255,0.2243,0.8793,1.0,0.1207,0.9065,0.9284,0.9284,-0.0219,-0.0,0.82,-0.0593,0.0272,0.1084
human_nontata_promoters,HGB,0.2255,0.2243,0.8383,0.9755,0.1372,0.8692,0.8906,0.8905,-0.0213,0.0001,0.827,-0.0113,0.0309,0.0635
