dataset,scale,n_used,split_type,seed,k,model,accuracy,auroc,f1
human_ocr_ensembl,subsample,20000,random,0,4,LinearSVC,0.65425,0.7094555,0.6511979823455233
human_ocr_ensembl,subsample,20000,random,0,4,RF,0.6495,0.71835925,0.6603682170542635
human_ocr_ensembl,subsample,20000,random,0,4,HGB,0.65825,0.7186595,0.6645398773006135
human_ocr_ensembl,subsample,20000,random,1,4,LR,0.66,0.71329575,0.6594892338507762
human_ocr_ensembl,subsample,20000,random,1,4,LinearSVC,0.66625,0.7197067500000001,0.6659994996247185
human_ocr_ensembl,subsample,20000,random,1,4,RF,0.66225,0.7249768750000001,0.6712095400340715
human_ocr_ensembl,subsample,20000,random,1,4,HGB,0.6695,0.7261770000000001,0.6822115384615385
human_ocr_ensembl,subsample,20000,random,2,4,LR,0.63975,0.69234975,0.6391184573002755
human_ocr_ensembl,subsample,20000,random,2,4,LinearSVC,0.6495,0.6991982499999999,0.6496751624187906
human_ocr_ensembl,subsample,20000,random,2,4,RF,0.65,0.70778825,0.6596985901798736
human_ocr_ensembl,subsample,20000,random,2,4,HGB,0.65,0.70806575,0.6596985901798736
human_ocr_ensembl,subsample,20000,homology@0.7,0,4,LR,0.6418395401149712,0.700039980009995,0.6398592611208846
human_ocr_ensembl,subsample,20000,homology@0.7,0,4,LinearSVC,0.649087728067983,0.7064705147426287,0.6467035732259688
human_ocr_ensembl,subsample,20000,homology@0.7,0,4,RF,0.6555861034741315,0.7141009495252374,0.6689091782796732
human_ocr_ensembl,subsample,20000,homology@0.7,0,4,HGB,0.6570857285678581,0.7192523738130934,0.6679574056147144
human_ocr_ensembl,subsample,20000,homology@0.7,1,4,LR,0.6563359160209947,0.7080064967516241,0.6559919939954966
human_ocr_ensembl,subsample,20000,homology@0.7,1,4,LinearSVC,0.6545863534116471,0.7128653173413293,0.6534603811434303
human_ocr_ensembl,subsample,20000,homology@0.7,1,4,RF,0.6400899775056236,0.6953288355822089,0.6499756927564414
human_ocr_ensembl,subsample,20000,homology@0.7,1,4,HGB,0.64383904023994,0.700570964517741,0.6528623629719854
human_ocr_ensembl,subsample,20000,homology@0.7,2,4,LR,0.6470882279430142,0.6995914542728636,0.647
human_ocr_ensembl,subsample,20000,homology@0.7,2,4,LinearSVC,0.6550862284428893,0.7056031984007995,0.6541353383458647
human_ocr_ensembl,subsample,20000,homology@0.7,2,4,RF,0.64383904023994,0.7014045477261369,0.6581914128088271
human_ocr_ensembl,subsample,20000,homology@0.7,2,4,HGB,0.6508372906773306,0.7108465767116442,0.6606752489676949
human_ocr_ensembl,subsample,20000,original,-1,6,LR,0.677,0.74730325,0.680672268907563
human_ocr_ensembl,subsample,20000,original,-1,6,LinearSVC,0.66975,0.734791,0.670491394362684
human_ocr_ensembl,subsample,20000,original,-1,6,RF,0.6565,0.7111905000000001,0.6650414431984398
human_ocr_ensembl,subsample,20000,original,-1,6,HGB,0.671,0.73447575,0.6732869910625621
human_ocr_ensembl,subsample,20000,random,0,6,LR,0.6725,0.74044725,0.6725
human_ocr_ensembl,subsample,20000,random,0,6,LinearSVC,0.6675,0.7257687500000001,0.6629498226051698
human_ocr_ensembl,subsample,20000,random,0,6,RF,0.64825,0.7076445,0.6597339782345828
human_ocr_ensembl,subsample,20000,random,0,6,HGB,0.663,0.73630275,0.6671604938271605
human_ocr_ensembl,subsample,20000,random,1,6,LR,0.6875,0.76170975,0.6873436718359179
human_ocr_ensembl,subsample,20000,random,1,6,LinearSVC,0.67675,0.74569575,0.6765073805354016
human_ocr_ensembl,subsample,20000,random,1,6,RF,0.65675,0.7228435,0.6677957899830631
human_ocr_ensembl,subsample,20000,random,1,6,HGB,0.67075,0.7467975,0.6811909949164852
human_ocr_ensembl,subsample,20000,random,2,6,LR,0.6685,0.741014,0.6709677419354839
human_ocr_ensembl,subsample,20000,random,2,6,LinearSVC,0.66575,0.729638,0.6666666666666666
