dataset,threshold,n_components,n_singletons,n_multi,max_cluster,top5_sizes,n_redundant,frac_redundant,clusters_spanning_split,resid_leak_frac,test_frac,pos_train,pos_test
human_nontata_promoters,0.5,20977,19628,1349,420,"[86, 99, 102, 120, 420]",15154,0.41941822811436164,0,0.0,0.2505327834823282,0.5443332471657003,0.543194874060981
human_nontata_promoters,0.7,23312,20501,2811,420,"[41, 45, 54, 81, 420]",12819,0.35479228363455206,0,0.0,0.25022833577814063,0.5441860465116279,0.543634553699812
human_nontata_promoters,0.9,29967,26370,3597,212,"[12, 27, 44, 102, 212]",6164,0.17060142260109049,0,0.0,0.25006227339403836,0.5440286389134927,0.5441062534587714
human_nontata_promoters,droplargest@0.7,-1,-1,-1,420,"[41, 45, 54, 81, 420]",-1,-1.0,0,-1.0,-1.0,-1.0,-1.0
human_enhancers_ensembl,0.5,115714,79433,36281,330,"[142, 177, 207, 293, 330]",39128,0.25269629687035816,0,0.0,0.200023249505948,0.49998385404052637,0.5000645744543458
human_enhancers_ensembl,0.7,117270,81032,36238,143,"[86, 88, 90, 135, 143]",37572,0.24264734374394545,0,0.0,0.20001679130985134,0.4999717447990248,0.5001130089438507
human_enhancers_ensembl,0.9,117758,81637,36121,125,"[58, 63, 80, 119, 125]",37084,0.2394957440487723,0,0.0,0.20001033311375466,0.4999919271506071,0.5000322893122376
human_enhancers_ensembl,droplargest@0.7,-1,-1,-1,143,"[86, 88, 90, 135, 143]",-1,-1.0,0,-1.0,-1.0,-1.0,-1.0
