dose,mid_band_frac,phi
0.0,0.0152,0.0005
0.2,0.0143,0.074
0.25,0.0135,0.0932
0.3,0.0132,0.1055
0.35,0.0123,0.116
0.4,0.0127,0.1305
0.45,0.0138,0.1447
0.6,0.0127,0.1638
0.75,0.0123,0.1792
0.9426,0.0125,0.2013
