dataset,threshold,model,k,leakage_fraction,corrected_acc_mean,corrected_acc_std,delta_acc
drosophila_enhancers_stark,0.7,LR,4,0.0156,0.6852,0.0053,0.0154
drosophila_enhancers_stark,0.7,LR,6,0.0156,0.7061,0.009,0.0118
drosophila_enhancers_stark,0.7,RF,4,0.0156,0.6828,0.0066,0.005
drosophila_enhancers_stark,0.7,RF,6,0.0156,0.685,0.003,0.0231
drosophila_enhancers_stark,0.9,LR,4,0.0058,0.673,0.0033,0.0276
drosophila_enhancers_stark,0.9,LR,6,0.0058,0.7011,0.0057,0.0168
drosophila_enhancers_stark,0.9,RF,4,0.0058,0.6736,0.004,0.0143
drosophila_enhancers_stark,0.9,RF,6,0.0058,0.6647,0.0026,0.0434
dummy_mouse_enhancers_ensembl,0.5,LR,4,0.0,0.8017,0.0179,-0.0248
dummy_mouse_enhancers_ensembl,0.5,LR,6,0.0,0.7934,0.0255,-0.0372
dummy_mouse_enhancers_ensembl,0.5,RF,4,0.0,0.7851,0.0,0.0
dummy_mouse_enhancers_ensembl,0.5,RF,6,0.0,0.7672,0.0192,0.0014
dummy_mouse_enhancers_ensembl,0.7,LR,4,0.0,0.7961,0.014,-0.0193
dummy_mouse_enhancers_ensembl,0.7,LR,6,0.0,0.8017,0.0264,-0.0455
dummy_mouse_enhancers_ensembl,0.7,RF,4,0.0,0.7893,0.0205,-0.0041
dummy_mouse_enhancers_ensembl,0.7,RF,6,0.0,0.7713,0.0186,-0.0028
dummy_mouse_enhancers_ensembl,0.9,LR,4,0.0,0.7961,0.014,-0.0193
dummy_mouse_enhancers_ensembl,0.9,LR,6,0.0,0.8017,0.0264,-0.0455
dummy_mouse_enhancers_ensembl,0.9,RF,4,0.0,0.7893,0.0205,-0.0041
dummy_mouse_enhancers_ensembl,0.9,RF,6,0.0,0.7713,0.0186,-0.0028
human_ensembl_regulatory,0.5,LR,4,0.006,0.5922,0.0075,-0.0082
human_ensembl_regulatory,0.5,LR,6,0.006,0.6128,0.0057,-0.0221
human_ensembl_regulatory,0.5,RF,4,0.006,0.6708,0.0071,-0.0068
human_ensembl_regulatory,0.5,RF,6,0.006,0.5894,0.007,-0.0109
human_ensembl_regulatory,0.7,LR,4,0.0,0.5954,0.003,-0.0114
human_ensembl_regulatory,0.7,LR,6,0.0,0.6089,0.0064,-0.0181
human_ensembl_regulatory,0.7,RF,4,0.0,0.6738,0.0077,-0.0098
human_ensembl_regulatory,0.7,RF,6,0.0,0.5833,0.0046,-0.0048
human_ensembl_regulatory,0.9,LR,4,0.0,0.5942,0.0046,-0.0102
human_ensembl_regulatory,0.9,LR,6,0.0,0.6049,0.0058,-0.0141
human_ensembl_regulatory,0.9,RF,4,0.0,0.6696,0.0047,-0.0057
human_ensembl_regulatory,0.9,RF,6,0.0,0.5899,0.0039,-0.0114
