scope,dataset,assembly,provider,release,artifact,url,http_status,access_date,archive_url,evidence
upstream (benchmark curators),human_nontata_promoters,GRCh38,Ensembl,97,GRCh38 toplevel DNA FASTA,https://ftp.ensembl.org/pub/release-97/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna.toplevel.fa.gz,200,2026-07-20,https://jul2019.archive.ensembl.org,https://github.com/ML-Bioinfo-CEITEC/genomic_benchmarks/blob/main/docs/human_nontata_promoters/create_datasets.ipynb
upstream (benchmark curators),human_enhancers_cohn,GRCh38,Ensembl,97,GRCh38 toplevel DNA FASTA,https://ftp.ensembl.org/pub/release-97/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna.toplevel.fa.gz,200,2026-07-20,https://jul2019.archive.ensembl.org,https://github.com/ML-Bioinfo-CEITEC/genomic_benchmarks/blob/main/docs/human_enhancers_cohn/create_datasets.ipynb
upstream (benchmark curators),human_enhancers_ensembl,GRCh38,Ensembl,100,Regulatory Build 100 external-feature table,https://ftp.ensembl.org/pub/release-100/mysql/regulation_mart_100/hsapiens_external_feature__external_feature__main.txt.gz,200,2026-07-20,https://apr2020.archive.ensembl.org,https://github.com/ML-Bioinfo-CEITEC/genomic_benchmarks/blob/main/docs/human_enhancers_ensembl/create_datasets.ipynb
upstream (benchmark curators),human_ocr_ensembl,GRCh38,Ensembl,100,Regulatory Build 100 external-feature table,https://ftp.ensembl.org/pub/release-100/mysql/regulation_mart_100/hsapiens_external_feature__external_feature__main.txt.gz,200,2026-07-20,https://apr2020.archive.ensembl.org,https://github.com/ML-Bioinfo-CEITEC/genomic_benchmarks/blob/main/docs/human_ocr_ensembl/create_datasets.ipynb
upstream (benchmark curators),human_enhancers_ensembl,GRCh38,Ensembl,100,GRCh38 primary-assembly DNA FASTA,https://ftp.ensembl.org/pub/release-100/fasta/homo_sapiens/dna/Homo_sapiens.GRCh38.dna.primary_assembly.fa.gz,200,2026-07-20,https://apr2020.archive.ensembl.org,https://github.com/ML-Bioinfo-CEITEC/genomic_benchmarks/blob/main/docs/human_enhancers_ensembl/create_datasets.ipynb
ours (assembly verification),both leaky datasets,GRCh38/hg38,UCSC,Dec. 2013 (GRCh38/hg38),GRCh38 Genome Reference Consortium Human Reference 38 (GCA_000001405.15),https://api.genome.ucsc.edu/getData/sequence,200,2026-07-20,,accession GCA_000001405.15; audit/experiments/assembly_verification.py
ours (assembly verification),both leaky datasets,GRCh37/hg19,UCSC,Feb. 2009 (GRCh37/hg19),GRCh37 Genome Reference Consortium Human Reference 37 (GCA_000001405.1),https://api.genome.ucsc.edu/getData/sequence,200,2026-07-20,,accession GCA_000001405.1; audit/experiments/assembly_verification.py
