phi,rf_drop,ci_lo,ci_hi,ranking_inverts,is_table2_arm
0.0005,0.0022,-0.0191,0.0247,False,True
0.074,0.0277,0.0065,0.0497,False,False
0.0932,0.0407,0.0195,0.0619,False,False
0.1055,0.0589,0.0373,0.0788,True,False
0.116,0.0662,0.0448,0.0894,True,False
0.1305,0.0612,0.0399,0.0821,True,False
0.1447,0.0606,0.0383,0.0817,True,False
0.1638,0.0867,0.0636,0.1087,True,False
0.1792,0.0892,0.0667,0.111,True,False
0.2013,0.1054,0.0834,0.1263,True,True
